C_Barri	Homes	Dones	Area	Perim	Coord_X	Coord_Y
1	26553	21850	1098392.91379	5557.372878	430732.006258	4581363.15123
2	8368	7508	841905.077496	5683.004856	431315.817811	4581594.76566
3	7581	7631	1313867.98294	13039.266793	432374.695771	4581152.20728
4	11466	11390	1114298.81253	4658.031512	431822.634373	4582222.36348
5	15039	16924	928901.046575	4175.971325	431670.741604	4583403.35904
6	23686	27937	1050991.15274	4336.621674	431269.360994	4584298.69238
7	20240	23754	2123404.58138	6460.307377	430556.145518	4583021.61979
8	19434	22727	1234453.33528	4851.622805	429460.460492	4582529.48103
9	27038	31186	1337656.30825	4626.630284	428937.504226	4581835.50048
10	18134	20378	800985.103832	4711.253241	429799.915134	4581324.9704
11	20213	20693	4604540.66822	9956.448009	429693.647708	4579869.11431
12	577	561	14284129.2813	43242.508489	428356.498514	4576986.36114
13	14728	15751	1254642.47979	5818.641275	428148.156167	4579279.5347
14	4936	5545	302061.743584	2867.615611	428577.486012	4580360.96009
15	7670	8284	410205.99427	3138.021123	428533.124072	4580979.75518
16	8738	9767	576519.296197	3659.789047	427871.215651	4580289.36478
17	11414	12930	410559.354243	2843.475687	427151.577618	4580922.24732
18	19601	21712	1097760.63863	4841.604853	427875.272199	4581224.84863
19	21580	24832	1412572.66974	4958.808464	427747.94404	4582277.90653
20	11251	12807	1902580.24292	6378.845474	426296.454664	4581657.34309
21	5500	6300	2702379.12791	8761.176129	425700.720093	4582753.40071
22	2269	2397	11522410.1308	34375.3511	423973.04297	4585950.29459
23	11552	13267	3041668.84049	10353.319052	426217.739662	4584038.32313
24	7722	8810	788279.568474	4358.26363	427354.715631	4583510.37319
25	11777	13797	2235228.37348	8692.896014	427395.90045	4584819.7254
26	21201	25842	1658916.10473	5168.7692	428453.031384	4583439.94478
27	13278	16000	846300.183592	4419.999591	428539.436243	4584485.79995
28	7215	8356	1208555.61558	8526.087311	428312.082713	4585536.76209
29	3455	3889	357910.484451	3511.291899	428876.500535	4585738.76458
30	6089	7214	643496.888444	4008.125824	429418.883382	4585088.54512
31	23092	27836	1326020.38832	4815.704588	429617.542951	4584055.99398
32	15760	18596	649533.245605	3854.187732	430302.710038	4584403.39241
33	11870	13896	559836.379515	3017.601185	430544.053691	4585001.92733
34	4170	4729	383734.715944	4346.842889	430095.903925	4585564.05965
35	16691	19300	1308252.55776	6257.140949	431036.160605	4585785.19124
36	4507	4998	657221.404116	4289.377454	430342.218178	4586431.60145
37	15306	16537	941583.830143	6200.748289	429562.860855	4586124.22105
38	5519	5886	337046.108705	3019.688328	428776.104716	4586276.36638
39	3229	3662	1716025.64145	8060.995571	427412.617535	4586548.945
40	2268	2842	2046690.10749	7701.694856	428060.211165	4587639.83852
41	2597	2872	736145.936753	4099.079631	428930.606218	4587086.078
42	270	267	178272.494798	1960.931336	429328.730921	4586916.27188
43	12590	14086	3082268.55961	10888.952207	429246.476929	4588141.422
44	11752	13829	567114.387441	4578.457367	431084.971224	4586868.96418
45	11558	13046	841099.89151	3718.318973	431486.607724	4587563.68704
46	7135	8419	354107.896453	3098.573119	430658.108176	4587284.86494
47	1100	1195	119514.562507	1995.474962	430453.401494	4587570.15501
48	7051	8096	611414.026461	3430.809014	430663.515319	4588008.52757
49	3366	3656	792537.091193	4733.901847	430212.993261	4588706.26121
50	7603	8030	641716.706206	4513.911972	431196.638254	4589030.05109
51	5669	6625	237435.830951	2179.708085	431228.34312	4588434.48591
52	12498	13797	594805.224583	3369.357083	431759.245476	4588425.51038
53	3555	3914	560080.7503	3924.509651	432002.272697	4589291.20616
54	1368	1351	1768413.43631	7787.149915	431118.852769	4589787.34393
55	5135	5214	355408.020874	3037.678906	431189.073743	4590485.49497
56	658	690	597790.992229	4323.539724	431962.939264	4590724.61694
57	5376	4877	809698.157658	4948.221825	432678.338127	4589412.52011
58	1237	1304	229918.434443	2236.437926	433184.478577	4588761.88301
59	6408	6358	1881775.40707	6694.205551	433409.30032	4587778.25545
60	26805	30013	1841186.67597	6386.101067	432439.993408	4587779.18064
61	13634	15500	972370.712758	4410.343809	432426.430527	4586272.89701
62	6429	7732	407024.218378	2807.84283	431645.471669	4586418.51249
63	10262	11797	423348.090252	3209.564695	432065.105107	4585684.74865
64	17974	20387	741732.938428	3443.182129	431766.718053	4585022.2941
65	13062	14108	695953.298722	3917.679732	432396.51529	4584770.70968
66	7231	7719	1114038.06822	5339.802362	432407.0575	4583524.05951
67	4594	4785	942886.753299	6720.431493	432942.034506	4582646.15065
68	16353	17289	1544597.83251	6358.989689	433421.785699	4583668.81356
69	6552	6896	1236939.11057	7600.176297	434318.939753	4584247.38379
70	11883	11371	1274426.18803	6486.894277	434683.88255	4585112.54277
71	9805	10501	1104975.73673	5138.082353	433448.21131	4584901.07656
72	12291	13905	745406.978832	3437.387145	433064.661938	4585548.19964
73	13827	15186	1122804.90702	4450.488351	433498.064767	4586332.56591
